i_index unit1 scale1,j_index unit1 scale1,k_index unit1 scale1,x_coord unit1 scale1,y_coord unit1 scale1,z_coord unit1 scale1,S2X4_FACIES unit1 scale1,S2X4_POR unit1 scale1
32,59,32,47860.0,50380.0,-2879.25228882,0.0,0.894537
32,59,33,47860.0,50380.0,-2883.61260986,0.0,0.0
32,59,34,47860.0,50380.0,-2887.97296143,0.0,0.0
32,59,35,47860.0,50380.0,-2892.33328247,0.0,0.0
32,59,36,47860.0,50380.0,-2896.693573,0.0,0.0
32,59,37,47860.0,50380.0,-2901.05389404,3.0,0.0
32,59,38,47860.0,50380.0,-2905.41418457,1.0,8.955418
32,70,32,47860.0,50820.0,-2608.66000366,1.0,0.0
32,70,33,47860.0,50820.0,-2612.5993042,1.0,0.0
32,70,34,47860.0,50820.0,-2616.53863525,2.0,0.0
32,70,35,47860.0,50820.0,-2620.47802734,1.0,0.0
32,70,36,47860.0,50820.0,-2624.41741943,0.0,0.0
32,70,37,47860.0,50820.0,-2628.35671997,1.0,0.0
32,70,38,47860.0,50820.0,-2632.29602051,0.0,0.0
34,51,32,47940.0,50060.0,-2820.87994385,3.0,9.850677
34,51,33,47940.0,50060.0,-2827.81698608,0.0,11.502447
34,51,34,47940.0,50060.0,-2834.7539978,0.0,2.66503
34,60,32,47940.0,50420.0,-2886.80465698,0.0,0.0
34,60,33,47940.0,50420.0,-2890.5619812,2.0,0.0
34,60,34,47940.0,50420.0,-2894.31930542,0.0,0.0
35,51,32,47980.0,50060.0,-2826.24169922,2.0,6.688487
35,51,33,47980.0,50060.0,-2833.29074097,0.0,0.0
35,51,34,47980.0,50060.0,-2840.3397522,0.0,17.184805
35,51,35,47980.0,50060.0,-2847.38882446,1.0,3.028425
35,51,36,47980.0,50060.0,-2854.43789673,2.0,0.0
35,51,37,47980.0,50060.0,-2861.48693848,0.0,0.0
35,59,32,47980.0,50380.0,-2886.14904785,0.0,0.0
35,59,33,47980.0,50380.0,-2889.79858398,2.0,0.0
35,59,34,47980.0,50380.0,-2893.44812012,0.0,0.0
35,59,35,47980.0,50380.0,-2897.09768677,0.0,0.0
35,59,36,47980.0,50380.0,-2900.74725342,2.0,0.0
35,59,37,47980.0,50380.0,-2904.39678955,1.0,0.0
35,59,38,47980.0,50380.0,-2908.04632568,1.0,0.0
35,74,32,47980.0,50980.0,-2640.71472168,1.0,4.046553
35,74,33,47980.0,50980.0,-2644.9508667,2.0,16.358208
35,74,34,47980.0,50980.0,-2649.18707275,2.0,4.420651
35,74,35,47980.0,50980.0,-2653.42324829,2.0,11.968514
35,74,36,47980.0,50980.0,-2657.65939331,1.0,8.783711
35,74,37,47980.0,50980.0,-2661.89553833,0.0,4.454466
35,74,38,47980.0,50980.0,-2666.13174438,0.0,5.717643
37,76,32,48060.0,51060.0,-2667.7286377,1.0,9.144349
37,76,33,48060.0,51060.0,-2671.60021973,1.0,11.023342
37,76,34,48060.0,51060.0,-2675.47183228,0.0,0.0
