i_index unit1 scale1,j_index unit1 scale1,k_index unit1 scale1,x_coord unit1 scale1,y_coord unit1 scale1,z_coord unit1 scale1
42,49,56,48260.0,49980.0,-2888.09658813
39,54,56,48140.0,50180.0,-2886.79473877
42,49,55,48260.0,49980.0,-2884.24633789
39,54,55,48140.0,50180.0,-2882.45205688
42,49,54,48260.0,49980.0,-2880.39611816
39,54,54,48140.0,50180.0,-2878.109375
42,49,53,48260.0,49980.0,-2876.54589844
41,51,53,48220.0,50060.0,-2889.11782837
39,54,53,48140.0,50180.0,-2873.76669312
42,49,52,48260.0,49980.0,-2872.69567871
41,51,52,48220.0,50060.0,-2883.99942017
39,54,52,48140.0,50180.0,-2869.42401123
42,49,51,48260.0,49980.0,-2868.84545898
41,51,51,48220.0,50060.0,-2878.881073
39,54,51,48140.0,50180.0,-2865.08135986
84,59,51,49940.0,50380.0,-2902.10647583
42,49,50,48260.0,49980.0,-2864.99523926
41,51,50,48220.0,50060.0,-2873.76269531
40,52,50,48180.0,50100.0,-2885.4680481
39,54,50,48140.0,50180.0,-2860.7387085
72,56,50,49460.0,50260.0,-2859.06515503
85,60,50,49980.0,50420.0,-2895.97961426
68,72,50,49300.0,50900.0,-2774.39419556
94,78,50,50340.0,51140.0,-2796.96411133
95,79,50,50380.0,51180.0,-2800.23059082
96,79,50,50420.0,51180.0,-2798.51138306
53,95,50,48700.0,51820.0,-2686.65454102
42,48,49,48260.0,49940.0,-2868.60186768
41,51,49,48220.0,50060.0,-2868.64431763
40,52,49,48180.0,50100.0,-2880.75686646
72,56,49,49460.0,50260.0,-2852.83255005
81,57,49,49820.0,50300.0,-2904.72085571
82,58,49,49860.0,50340.0,-2901.5380249
85,60,49,49980.0,50420.0,-2888.2711792
86,61,49,50020.0,50460.0,-2888.27780151
94,78,49,50340.0,51140.0,-2792.77761841
95,79,49,50380.0,51180.0,-2796.59515381
96,79,49,50420.0,51180.0,-2795.6880188
53,95,49,48700.0,51820.0,-2682.10839844
42,48,48,48260.0,49940.0,-2864.32278442
41,50,48,48220.0,50020.0,-2886.75976562
40,52,48,48180.0,50100.0,-2876.04568481
72,56,48,49460.0,50260.0,-2846.59991455
73,56,48,49500.0,50260.0,-2863.51123047
75,56,48,49580.0,50260.0,-2870.80554199
71,57,48,49420.0,50300.0,-2837.31430054
72,57,48,49460.0,50300.0,-2835.2767334
81,57,48,49820.0,50300.0,-2897.18084717
82,58,48,49860.0,50340.0,-2893.61410522
85,60,48,49980.0,50420.0,-2880.56277466
86,61,48,50020.0,50460.0,-2880.73657227
95,79,48,50380.0,51180.0,-2792.95974731
96,79,48,50420.0,51180.0,-2792.86462402
52,95,48,48660.0,51820.0,-2685.67565918
53,95,48,48700.0,51820.0,-2677.56228638
104,96,48,50740.0,51860.0,-2918.81088257
42,48,47,48260.0,49940.0,-2860.04370117
41,50,47,48220.0,50020.0,-2881.8197937
40,52,47,48180.0,50100.0,-2871.33447266
71,55,47,49420.0,50220.0,-2874.19415283
72,56,47,49460.0,50260.0,-2840.36727905
73,56,47,49500.0,50260.0,-2856.91122437
75,56,47,49580.0,50260.0,-2864.25674438
71,57,47,49420.0,50300.0,-2836.1902771
72,57,47,49460.0,50300.0,-2832.2923584
82,58,47,49860.0,50340.0,-2885.69015503
53,60,47,48700.0,50420.0,-2746.74050903
86,61,47,50020.0,50460.0,-2873.1953125
89,63,47,50140.0,50540.0,-2869.64285278
95,78,47,50380.0,51140.0,-2795.35748291
95,79,47,50380.0,51180.0,-2789.32437134
96,79,47,50420.0,51180.0,-2790.04122925
98,92,47,50500.0,51700.0,-2891.13134766
101,94,47,50620.0,51780.0,-2907.0390625
52,95,47,48660.0,51820.0,-2681.14782715
53,95,47,48700.0,51820.0,-2673.0161438
104,96,47,50740.0,51860.0,-2913.60614014
108,99,47,50900.0,51980.0,-2926.88363647
41,50,46,48220.0,50020.0,-2876.87988281
40,52,46,48180.0,50100.0,-2866.62329102
71,55,46,49420.0,50220.0,-2868.56137085
72,56,46,49460.0,50260.0,-2834.13470459
73,56,46,49500.0,50260.0,-2850.31115723
75,56,46,49580.0,50260.0,-2857.70797729
72,57,46,49460.0,50300.0,-2829.40966797
73,57,46,49500.0,50300.0,-2837.29608154
82,58,46,49860.0,50340.0,-2877.76623535
53,60,46,48700.0,50420.0,-2742.53588867
86,61,46,50020.0,50460.0,-2865.65405273
95,78,46,50380.0,51140.0,-2792.28182983
95,79,46,50380.0,51180.0,-2785.68896484
96,79,46,50420.0,51180.0,-2787.21786499
98,92,46,50500.0,51700.0,-2888.84292603
54,94,46,48740.0,51780.0,-2690.59762573
58,94,46,48900.0,51780.0,-2694.97998047
101,94,46,50620.0,51780.0,-2903.76223755
52,95,46,48660.0,51820.0,-2676.61999512
53,95,46,48700.0,51820.0,-2668.4699707
104,96,46,50740.0,51860.0,-2909.89706421
107,98,46,50860.0,51940.0,-2925.06057739
41,50,45,48220.0,50020.0,-2871.93997192
40,52,45,48180.0,50100.0,-2861.91210938
71,55,45,49420.0,50220.0,-2862.92858887
72,55,45,49460.0,50220.0,-2880.03323364
72,56,45,49460.0,50260.0,-2827.90209961
73,56,45,49500.0,50260.0,-2843.71112061
75,56,45,49580.0,50260.0,-2851.15921021
72,57,45,49460.0,50300.0,-2827.82980347
73,57,45,49500.0,50300.0,-2834.19363403
53,60,45,48700.0,50420.0,-2738.33126831
69,72,45,49340.0,50900.0,-2761.84094238
75,74,45,49580.0,50980.0,-2738.05966187
